test_id,top_k,chunk_size,chunk_overlap,chat_model,description
1,3,512,0,llama3.1:8b,Baseline with minimal values
2,3,512,0,llama3.1:8b-instruct-q4_1,Testing instruction tuning effect on baseline
3,3,512,0,deepseek-r1:7b,Testing alternative model (reasoning) on baseline
4,5,768,64,llama3.1:8b,Mid-range balanced configuration
5,5,768,64,llama3.1:8b-instruct-q4_1,Mid-range balanced instruction-tuned approach
6,5,1024,128,llama3.1:8b,Upper-end retrieval quality
7,5,1024,128,llama3.1:8b,Upper-end retrieval quality advanced-RAG (RAG-Fusion)
8,5,1024,128,llama3.1:8b-instruct-q4_1,Alternative model with upper-end retrieval settings
9,5,1024,128,deepseek-r1:7b,Reasoning model with upper-end retrieval settings
10,10,2048,256,llama3.1:8b,Maximum  retrieval settings
